dataset,hidden_channels,lr,dropout,epochs,hops,wd,Accuracy,std
texas,64,0.01,0.35,10000,4,0.0005,88.65,5.1
citeseer,16,0.01,0.2,1000,3,0.0005,77.2,1.44
cora,16,0.01,0.2,1000,3,0.0005,85.15,1.21
wisconsin,16,0.01,0.2,1000,3,0.0005,91.57,2.64
texas,16,0.01,0.2,1000,3,0.0005,80.54,6.02
cornell,16,0.01,0.2,1000,3,0.0005,83.24,2.65
citeseer,16,0.01,0.2,1000,3,0.001,77.16,1.25
cora,16,0.01,0.2,1000,3,0.001,84.99,1.41
citeseer,16,0.01,0.3,1000,3,0.0005,76.94,1.3
texas,16,0.01,0.2,1000,3,0.001,79.46,4.71
cornell,16,0.01,0.2,1000,3,0.001,84.59,3.21
cora,16,0.01,0.3,1000,3,0.0005,85.43,1.15
wisconsin,16,0.01,0.2,1000,3,0.001,91.96,2.55
citeseer,16,0.01,0.3,1000,3,0.001,77.11,1.3
cora,16,0.01,0.3,1000,3,0.001,85.45,1.44
texas,16,0.01,0.3,1000,3,0.0005,80.54,5.9
cornell,16,0.01,0.3,1000,3,0.0005,82.16,1.79
citeseer,16,0.01,0.4,1000,3,0.0005,76.94,1.32
wisconsin,16,0.01,0.3,1000,3,0.0005,90.59,3.01
cora,16,0.01,0.4,1000,3,0.0005,85.9,1.15
citeseer,16,0.01,0.4,1000,3,0.001,77.02,1.32
texas,16,0.01,0.3,1000,3,0.001,78.11,6.22
cornell,16,0.01,0.3,1000,3,0.001,82.97,2.11
wisconsin,16,0.01,0.3,1000,3,0.001,90.78,3.29
cora,16,0.01,0.4,1000,3,0.001,86.1,1.14
citeseer,16,0.01,0.5,1000,3,0.0005,76.97,1.31
cora,16,0.01,0.5,1000,3,0.0005,86.5,1.42
citeseer,16,0.01,0.5,1000,3,0.001,77.08,1.23
texas,16,0.01,0.4,1000,3,0.0005,78.65,7.09
cornell,16,0.01,0.4,1000,3,0.0005,79.19,2.72
wisconsin,16,0.01,0.4,1000,3,0.0005,90.0,3.09
citeseer,16,0.03,0.2,1000,3,0.0005,77.08,1.58
cora,16,0.01,0.5,1000,3,0.001,87.12,1.41
citeseer,16,0.03,0.2,1000,3,0.001,77.05,1.45
texas,16,0.01,0.4,1000,3,0.001,78.65,7.2
cornell,16,0.01,0.4,1000,3,0.001,80.54,2.65
wisconsin,16,0.01,0.4,1000,3,0.001,90.39,3.09
cora,16,0.03,0.2,1000,3,0.0005,84.99,1.09
citeseer,16,0.03,0.3,1000,3,0.0005,77.2,1.42
cora,16,0.03,0.2,1000,3,0.001,84.81,1.39
texas,16,0.01,0.5,1000,3,0.0005,77.57,7.74
cornell,16,0.01,0.5,1000,3,0.0005,77.03,3.87
wisconsin,16,0.01,0.5,1000,3,0.0005,90.2,3.51
citeseer,16,0.03,0.3,1000,3,0.001,77.17,1.4
cora,16,0.03,0.3,1000,3,0.0005,86.96,1.35
citeseer,16,0.03,0.4,1000,3,0.0005,77.29,1.19
